run_id,repeat_index,angle_deg,angle_rad,speed_m_s,pre_length_m,post_length_m,total_distance_m,measured_time_s,measured_energy_wh,turn_time_s,turn_energy_wh,mean_power_w,battery_voltage_mean_v,battery_current_mean_a,valid_energy_intervals,sample_count,valid
40f05007_01_0_outbound,1,0.0,0.0,2.5,30.0,30.0,60.0,31.346686237000085,2.7164775184379324,0.1170770945001749,0.015562975897106313,312.4347583802773,16.33973643430479,19.121209788474307,313,314,True
40f05007_01_0_inbound,1,-0.0,-0.0,2.5,30.0,30.0,60.0,32.08497120600009,2.7768218092807,0.8553620635001806,0.07590726673987414,312.386807372852,16.33973285045208,19.118286263534213,320,321,True
40f05007_01_15_outbound,1,15.0,0.2617993877991494,2.5,30.0,30.0,60.0,31.307789696000327,2.708142654130954,0.07818055350041675,0.007228111590127817,312.46621708549,16.340096622991105,19.122715185244623,312,313,True
40f05007_01_15_inbound,1,-15.0,-0.2617993877991494,2.5,30.0,30.0,60.0,31.326092857000276,2.708275320812645,0.09648371450036564,0.007360778271818802,312.48360439674946,16.338975236057856,19.125079407859534,312,313,True
40f05007_01_30_outbound,1,30.0,0.5235987755982988,2.5,30.0,30.0,60.0,30.303845620000175,2.622206364415132,-0.9257635224997358,-0.07870817812569397,312.57028210348875,16.33944303682535,19.12983461260402,302,303,True
40f05007_01_30_inbound,1,-30.0,-0.5235987755982988,2.5,30.0,30.0,60.0,31.30817843700015,2.7085168657742,0.07856929450024097,0.007602323233373731,312.51155822436067,16.33950880008003,19.126165658140334,312,313,True
40f05007_01_45_outbound,1,45.0,0.7853981633974483,2.5,30.0,30.0,60.0,31.310285986000054,2.7090722919082104,0.08067684350014304,0.008157749367384337,312.57177308442095,16.33861745279818,19.13089408508886,312,313,True
40f05007_01_45_inbound,1,-45.0,-0.7853981633974483,2.5,30.0,30.0,60.0,31.566365762999794,2.7343659732295458,0.33675662049988375,0.0334514306887197,312.49282571869685,16.340206472179556,19.12420842617373,315,316,True
40f05007_01_60_outbound,1,60.0,1.0471975511965976,2.5,30.0,30.0,60.0,31.193331170999954,2.691138241343402,-0.03627797149995615,-0.009776301197423898,312.51332901956795,16.33868251812803,19.127234216671663,310,311,True
40f05007_01_60_inbound,1,-60.0,-1.0471975511965976,2.5,30.0,30.0,60.0,31.317906221000158,2.708238242921004,0.08829707850024704,0.007323700380177822,312.4758020496909,16.34057266795978,19.12274725063921,312,313,True
40f05007_01_90_outbound,1,90.0,1.5707963267948966,2.5,30.0,30.0,60.0,31.273583172000144,2.7076322574039238,0.04397402950023377,0.00671771486309769,312.4173555792212,16.339604642825385,19.12028717918518,312,313,True
40f05007_01_90_inbound,1,-90.0,-1.5707963267948966,2.5,30.0,30.0,60.0,30.305148688999907,2.621427289579275,-0.9244604535000036,-0.07948725296155112,312.4709329361593,16.339571710466945,19.12359689013793,302,303,True
40f05007_01_120_outbound,1,120.0,2.0943951023931953,2.5,30.0,30.0,60.0,31.31575787299971,2.7073379787080327,0.08614873049980076,0.006423436167206642,312.379318428391,16.33941922172571,19.118178419411755,312,313,True
40f05007_01_120_inbound,1,-120.0,-2.0943951023931953,2.5,30.0,30.0,60.0,30.30737322699997,2.621382028749873,-0.9222359154999396,-0.07953251379095327,312.4696738001603,16.339324183196517,19.12379497742102,302,303,True
40f05007_01_150_outbound,1,150.0,2.6179938779914944,2.5,30.0,30.0,60.0,31.321113857,2.707168497301678,0.09150471450008979,0.0062539547608517765,312.3550825644205,16.339428868156652,19.11667683634895,312,313,True
40f05007_01_150_inbound,1,-150.0,-2.6179938779914944,2.5,30.0,30.0,60.0,30.305805960999805,2.621167397503154,-0.9238031815001051,-0.07974714503767188,312.4497538065332,16.339588234526882,19.122276753088823,302,303,True
40f05007_01_180_outbound,1,180.0,3.141592653589793,2.5,30.0,30.0,60.0,31.311597681999956,2.70657931170428,0.08198853950004548,0.005664769163453709,312.2903143702925,16.34011576960262,19.111916404943496,312,313,True
40f05007_01_180_inbound,1,-180.0,-3.141592653589793,2.5,30.0,30.0,60.0,31.820562783999776,2.7583861753089005,0.5909536414998655,0.05747163276807443,312.2585863770047,16.340179461296824,19.10990554785654,318,319,True
40f05007_02_0_outbound,2,0.0,0.0,2.5,30.0,30.0,60.0,31.311484316000133,2.707886616132793,0.08187517350022233,0.006972073591966943,312.4395015882058,16.340610979464106,19.120478754988113,312,313,True
40f05007_02_0_inbound,2,-0.0,-0.0,2.5,30.0,30.0,60.0,31.311591747999955,2.7083069434850033,0.08198260550004477,0.007392400944177258,312.4866551579135,16.339467210129808,19.12469603078434,312,313,True
40f05007_02_15_outbound,2,15.0,0.2617993877991494,2.5,30.0,30.0,60.0,31.30789122799979,2.7087418077261036,0.07828208549987892,0.007827265185277543,312.54034197155977,16.33839058190489,19.12923280880474,312,313,True
40f05007_02_15_inbound,2,-15.0,-0.2617993877991494,2.5,30.0,30.0,60.0,31.064562935999675,2.6908341795215485,-0.16504620650023583,-0.010080363019277616,312.46760739446114,16.340643824488403,19.122153849463754,310,311,True
