target,model,mae,rmse,mape_percent,r2
total_flight_energy_wh,linear,0.0249030806921261,0.030672328375797385,0.261804696544813,0.9995888983399359
total_flight_energy_wh,gaussian_process,0.025382578278462648,0.031535978842087704,0.2655618232621043,0.9995654213650238
total_flight_energy_wh,polynomial_degree_2,0.04782913265473524,0.05374071494325898,0.5209816958854078,0.9987379905122431
total_flight_energy_wh,svr_rbf,0.06630577624183902,0.0944080356005522,0.615356954131786,0.9961053031206907
total_flight_energy_wh,extra_trees,0.11015799719196717,0.13117026605548762,1.1002132705742518,0.9924815807576046
total_flight_energy_wh,gradient_boosting,0.14258309054859772,0.1678183643430442,1.530995563253013,0.9876934956908454
total_flight_energy_wh,xgboost,0.17200950180534236,0.18666705983949056,1.792190684019856,0.9847738145730638
total_flight_energy_wh,knn,0.16644145951342673,0.21013589244673803,1.8873757799884663,0.9807044919541781
total_flight_energy_wh,random_forest,0.26554398513454636,0.31015445567470573,2.703127082455431,0.9579649285881218
total_flight_energy_wh,decision_tree,0.26518526072041754,0.36177290311857097,2.896552259063641,0.9428089842086597
total_flight_time_s,gaussian_process,0.422666201645517,0.5092060913709093,0.34085880242397126,0.9991483042622442
total_flight_time_s,linear,0.42387019116061236,0.5098984573082342,0.34129102605957734,0.9991459865915632
total_flight_time_s,polynomial_degree_2,0.5423226298540413,0.6989213498781522,0.46178229883610566,0.9983954475891167
total_flight_time_s,svr_rbf,0.8639514937487499,1.1296782027404453,0.6606457412249555,0.995808139788783
total_flight_time_s,extra_trees,1.3405051977550115,1.6139623050242722,1.069553745484398,0.9914437381296796
total_flight_time_s,gradient_boosting,1.7676152077819403,2.095156485801921,1.5022455731152582,0.9855811632528707
total_flight_time_s,xgboost,1.944194211550932,2.119261216239379,1.620128098105325,0.9852474778951864
total_flight_time_s,knn,1.8620370093756602,2.4175301502131004,1.6785512123821438,0.98080265845839
total_flight_time_s,random_forest,3.009229977322866,3.54277932042471,2.4467050048095547,0.9587726428716835
total_flight_time_s,decision_tree,3.0414687568607714,4.26053965128969,2.626127280524841,0.9403752575222597
