target,model,mae,rmse,mape_percent,r2
total_flight_energy_wh,linear,0.022280068907292245,0.026793781849015076,0.23360689967974776,0.9996863072221857
total_flight_energy_wh,gaussian_process,0.022246662075401602,0.027453312198579327,0.23258268437016658,0.9996706740270238
total_flight_energy_wh,polynomial_degree_2,0.03581151644602121,0.04181067381561611,0.38214311913305493,0.9992361451875718
total_flight_energy_wh,svr_rbf,0.059273929514545576,0.08391405831921732,0.5612519872507428,0.9969231527487618
total_flight_energy_wh,extra_trees,0.09950159449829576,0.135382153250504,0.9858757369169894,0.9919913498869701
total_flight_energy_wh,gradient_boosting,0.14395872549793454,0.1737802241807351,1.545332162382964,0.9868041554110817
total_flight_energy_wh,xgboost,0.17343995214388427,0.19087484105525246,1.8123119347074137,0.9840803372693243
total_flight_energy_wh,knn,0.21065696657370417,0.2811982054839036,2.314322964875876,0.9654489241088611
total_flight_energy_wh,random_forest,0.2497315838469832,0.2878732079555338,2.560412601926092,0.9637891282121325
total_flight_energy_wh,decision_tree,0.27840300218459374,0.3692651619766422,3.0148970333133147,0.9404182632035784
total_flight_time_s,linear,0.4049679893899218,0.4804597809823628,0.32324762666329093,0.999235960371834
total_flight_time_s,gaussian_process,0.39915996100056983,0.4849639185869589,0.31651041603207136,0.999221568031755
total_flight_time_s,polynomial_degree_2,0.5045329912990395,0.6164754049275036,0.4153834399036948,0.9987421370778179
total_flight_time_s,svr_rbf,0.6778680904404805,0.8554717907846463,0.5324981140236523,0.997577782190026
total_flight_time_s,extra_trees,1.2013036064091134,1.5596633710608752,0.9552087604708523,0.9919487455501823
total_flight_time_s,gradient_boosting,1.6575010024607328,1.948861300658122,1.395037293662542,0.9874291781988754
total_flight_time_s,xgboost,2.0102595494252946,2.2159382872087257,1.6720026307236564,0.983747613968477
total_flight_time_s,knn,2.4877965859955617,3.288528689480964,2.1687027582274894,0.9642064250371636
total_flight_time_s,random_forest,2.8661243322089605,3.30423859831212,2.3477140281788045,0.9638636231393783
total_flight_time_s,decision_tree,3.2429518332711,4.361062868968781,2.7865973187766793,0.937051338267322
