run_id,geometry_id,repeat_index,seed,target_distance_m,total_distance_m,waypoint_count,stop_count,speed_m_s,altitude_m,total_flight_time_s,total_flight_energy_wh,mean_power_w,battery_voltage_mean_v,battery_current_mean_a,valid_energy_intervals,sample_count,valid
f42a50ab_geometry_0001_01,geometry_0001,1,1181241943,176.01583690792899,176.01583690792893,7,7,2.5,13.0,132.92671577199985,10.74463282859341,290.8340036643008,16.285790249817353,17.887014635517858,1329,1330,True
f42a50ab_geometry_0002_01,geometry_0002,1,440213415,115.71371810381164,115.71371810381166,3,3,2.5,13.0,96.88615740200021,7.555624683129265,280.7023246671138,16.345493060762546,17.210463996326897,968,969,True
f42a50ab_geometry_0003_01,geometry_0003,1,373399426,221.32807761607268,221.32807761607268,7,7,2.5,13.0,151.88834959799988,12.326483795246444,292.1335314284026,16.2592423723433,17.993877174721455,1518,1519,True
f42a50ab_geometry_0004_01,geometry_0004,1,127978094,184.50449468978596,184.50449468978593,6,6,2.5,13.0,132.8900534029999,10.73573969682185,290.80975524424747,16.285732912245866,17.88519149035092,1328,1329,True
f42a50ab_geometry_0005_01,geometry_0005,1,113971123,114.98207596857654,114.98207596857652,2,2,2.5,13.0,93.88855703800004,7.278598514241273,279.346188334474,16.35139311605425,17.12243030084444,937,938,True
f42a50ab_geometry_0006_01,geometry_0006,1,1801823908,163.08841446591825,163.08841446591822,6,6,2.5,13.0,124.88860654699988,10.031342534625141,289.363275721669,16.29817864222404,17.784286445287318,1247,1248,True
f42a50ab_geometry_0007_01,geometry_0007,1,1194819984,151.87344740541658,151.87344740541656,3,3,2.5,13.0,110.88950179799986,8.772836926874303,284.7777799171124,16.32226314493081,17.48073901193732,1108,1109,True
f42a50ab_geometry_0008_01,geometry_0008,1,685731524,233.72641539806082,233.72641539806085,8,8,2.5,13.0,158.88951738299988,12.99900524956213,294.5006839520671,16.246947299916464,18.15162953242069,1588,1589,True
f42a50ab_geometry_0009_01,geometry_0009,1,1193448329,198.42823666705218,198.4282366670522,7,7,2.5,13.0,141.89536391599995,11.484204024569836,291.336255465177,16.273253816546816,17.930570375859485,1418,1419,True
f42a50ab_geometry_0010_01,geometry_0010,1,1445662585,114.4502019372142,114.4502019372142,3,3,2.5,13.0,95.88882920500009,7.527861528568059,282.5882034599825,16.344434600925545,17.325640880270658,958,959,True
