run_id,geometry_id,repeat_index,seed,target_distance_m,total_distance_m,waypoint_count,stop_count,speed_m_s,altitude_m,total_flight_time_s,total_flight_energy_wh,mean_power_w,battery_voltage_mean_v,battery_current_mean_a,valid_energy_intervals,sample_count,valid,source_file,source_repeat_index
72ab671e_geometry_0014_01,geometry_0014,1,1625792787,155.9833116339081,155.9833116339081,6,6,2.5,13.0,121.883970633,9.72434259128279,287.1811603093182,16.30471284160661,17.645003667784284,1218,1219,True,smoke_test1.csv,1
72ab671e_geometry_0015_01,geometry_0015,1,1553210608,168.32650100371632,168.32650100371632,2,2,2.5,13.0,114.88419896599952,9.126222828137347,285.9369375937311,16.31563089203067,17.55758009509899,1148,1149,True,smoke_test1.csv,1
72ab671e_geometry_0016_01,geometry_0016,1,298737106,162.45970466463936,162.45970466463936,6,6,2.5,13.0,123.88520122599948,9.967524991736504,289.6117009173184,16.298984615335165,17.79849031526081,1238,1239,True,smoke_test1.csv,1
72ab671e_geometry_0017_01,geometry_0017,1,1242911821,185.8021309708336,185.8021309708336,2,2,2.5,13.0,120.88456401800067,9.691208995203883,288.5697386066633,16.304506167781756,17.72882504917749,1208,1209,True,smoke_test1.csv,1
72ab671e_geometry_0018_01,geometry_0018,1,433797840,216.8508353624235,216.8508353624235,2,2,2.5,13.0,133.8842968429999,10.76065187565851,289.305857460356,16.286727415260046,17.792150446506604,1338,1339,True,smoke_test1.csv,1
72ab671e_geometry_0019_01,geometry_0019,1,1566942273,153.35683237321106,153.35683237321103,5,5,2.5,13.0,117.88369604099898,9.426454650559489,287.8283341970331,16.3091280049849,17.679448219858255,1178,1179,True,smoke_test1.csv,1
72ab671e_geometry_0020_01,geometry_0020,1,899825838,139.22895473870122,139.22895473870125,3,3,2.5,13.0,106.88484666399928,8.416839094222597,283.4459249706108,16.32911023210431,17.39299301503416,1068,1069,True,smoke_test1.csv,1
72ab671e_geometry_0021_01,geometry_0021,1,306671447,187.22240318753617,187.22240318753617,7,7,2.5,13.0,136.88381782800025,11.072179222295713,291.1583798429213,16.279932852467105,17.91261461925733,1368,1369,True,smoke_test1.csv,1
72ab671e_geometry_0022_01,geometry_0022,1,1051454923,204.95791566691776,204.9579156669178,6,6,2.5,13.0,140.88435431200014,11.423330682303936,291.86420714165985,16.274018523877526,17.961724164994198,1408,1409,True,smoke_test1.csv,1
72ab671e_geometry_0023_01,geometry_0023,1,1159417075,153.9616338961785,153.9616338961785,3,3,2.5,13.0,111.8837788410001,8.850815159413653,284.7423823611747,16.320999863107254,17.47975828729643,1118,1119,True,smoke_test1.csv,1
72ab671e_geometry_0024_01,geometry_0024,1,943239974,217.5476610071985,217.54766100719849,7,7,2.5,13.0,148.88433964399883,12.135479770324382,293.40119639036845,16.26141988038216,18.06871684451004,1488,1489,True,smoke_test1.csv,1
72ab671e_geometry_0025_01,geometry_0025,1,240251661,191.3483568779032,191.3483568779032,7,7,2.5,13.0,138.88300720999905,11.209448061592482,290.52278594893335,16.278144034487983,17.8757879169104,1388,1389,True,smoke_test1.csv,1
72ab671e_geometry_0026_01,geometry_0026,1,1354860540,211.48841504108933,211.48841504108933,3,3,2.5,13.0,134.88419402099862,10.8677386954763,290.0184145266352,16.284375110849616,17.83804992996736,1348,1349,True,smoke_test1.csv,1
72ab671e_geometry_0027_01,geometry_0027,1,906164396,152.12890511708434,152.12890511708437,5,5,2.5,13.0,116.88342270800058,9.349603967147804,287.92338838987433,16.310300154804267,17.684148404922517,1168,1169,True,smoke_test1.csv,1
72ab671e_geometry_0028_01,geometry_0028,1,1351531223,228.1312921413762,228.1312921413762,6,6,2.5,13.0,150.88297105299898,12.256748771672983,292.4056503054716,16.260159843247642,18.009310354947097,1508,1509,True,smoke_test1.csv,1
72ab671e_geometry_0029_01,geometry_0029,1,1699226064,184.8701864471808,184.8701864471808,3,3,2.5,13.0,123.88367496499995,9.934569246563926,288.65384314718085,16.30040111341623,17.738312756947877,1238,1239,True,smoke_test1.csv,1
72ab671e_geometry_0030_01,geometry_0030,1,1137651678,201.03733338629272,201.03733338629277,7,7,2.5,13.0,142.8841152999994,11.548890013842126,290.9428134075466,16.27243813607474,17.907277408348587,1428,1429,True,smoke_test1.csv,1
72ab671e_geometry_0031_01,geometry_0031,1,1128466620,119.46040123103737,119.46040123103737,3,3,2.5,13.0,97.88379489999896,7.652156145675386,281.3840889867941,16.343357290749164,17.25386062385448,978,979,True,smoke_test1.csv,1
72ab671e_geometry_0032_01,geometry_0032,1,1715412119,210.09019129609493,210.09019129609493,7,7,2.5,13.0,146.8838920620001,11.890503587552084,291.39251561835323,16.266637280167487,17.940796032375506,1468,1469,True,smoke_test1.csv,1
72ab671e_geometry_0033_01,geometry_0033,1,594130308,127.5821893186488,127.5821893186488,4,4,2.5,13.0,104.88404995199926,8.24906651692666,283.09194769524714,16.331975069582406,17.368836570087222,1048,1049,True,smoke_test1.csv,1
72ab671e_geometry_0034_01,geometry_0034,1,202363285,191.37752014940455,191.3775201494046,6,6,2.5,13.0,135.8840364209991,10.99040921139356,291.1343629615224,16.28137677622859,17.909432956709022,1358,1359,True,smoke_test1.csv,1
72ab671e_geometry_0035_01,geometry_0035,1,687117441,197.26315825683164,197.2631582568316,8,8,2.5,13.0,143.8843793619999,11.70317765350777,292.781257003433,16.26873322540559,18.023342156504448,1438,1439,True,smoke_test1.csv,1
