target,model,mae,rmse,mape_percent,r2
total_flight_energy_wh,linear,0.03018247506745789,0.044101969886357284,0.3253054706441949,0.999315863229528
total_flight_energy_wh,gaussian_process,0.030145458306948637,0.04457580846749884,0.3248962376983529,0.9993010833062446
total_flight_energy_wh,polynomial_degree_2,0.03327572253488694,0.0479926722464661,0.3600402920869633,0.9991898287624164
total_flight_energy_wh,svr_rbf,0.042239985292440344,0.055196406235768596,0.4497820895213352,0.9989283608750499
total_flight_energy_wh,extra_trees,0.046934874877691025,0.07382169543331371,0.5070327003544214,0.9980831197317193
total_flight_energy_wh,gradient_boosting,0.09169639582595895,0.11835070859503148,0.9977509320811787,0.9950731574732145
total_flight_energy_wh,knn,0.07470786467421006,0.11980352352384585,0.8206509733515418,0.9949514560788999
total_flight_energy_wh,xgboost,0.09234890673148559,0.12753441028270765,0.9975841495817493,0.9942788713587314
total_flight_energy_wh,random_forest,0.10307871193067533,0.14630697533208534,1.1379434572131037,0.9924706580642885
total_flight_energy_wh,decision_tree,0.13315362192776398,0.17708735066273126,1.4751900757583454,0.9889693263015096
total_flight_time_s,linear,0.4020587021659666,0.5675270038560313,0.33639223979397903,0.9991464034429071
total_flight_time_s,gaussian_process,0.4050800451112516,0.5716137246506261,0.33883326730658153,0.9991340658072603
total_flight_time_s,polynomial_degree_2,0.43700114150614433,0.6011029765722825,0.3709394275144028,0.9990424149653189
total_flight_time_s,svr_rbf,0.4710957865929172,0.6482101917940382,0.3959306623648303,0.9988864459457452
total_flight_time_s,extra_trees,0.6007070343976223,0.8798295988771782,0.5080174153355956,0.9979484753969426
total_flight_time_s,knn,0.8520969098336154,1.3638015767257925,0.7414116513306144,0.995070737237462
total_flight_time_s,gradient_boosting,1.1267953481886268,1.410978471098878,0.9631603071779435,0.9947238107138199
total_flight_time_s,xgboost,1.140599617555767,1.5202698167213446,0.9674618082980618,0.9938747906125328
total_flight_time_s,random_forest,1.2611224232097227,1.7471698018096422,1.0957850630068096,0.9919099757656741
total_flight_time_s,decision_tree,1.736246533837339,2.265259197771164,1.4807810920957938,0.9864007362081688
