run_id,geometry_id,repeat_index,seed,target_distance_m,total_distance_m,waypoint_count,stop_count,speed_m_s,altitude_m,total_flight_time_s,total_flight_energy_wh,mean_power_w,battery_voltage_mean_v,battery_current_mean_a,valid_energy_intervals,sample_count,valid,source_file,source_repeat_index
c8310217_geometry_0001_01,geometry_0001,5,1181241943,176.015836907929,176.01583690792893,7,7,2.5,13.0,133.16863920600008,10.759094648674628,290.7710768214854,16.28599404859113,17.883407962349086,1331,1332,True,smoke_test2.csv,1
c8310217_geometry_0002_01,geometry_0002,5,440213415,115.71371810381164,115.71371810381166,3,3,2.5,13.0,96.88616314899993,7.5848545469569535,281.7874786326419,16.344132871204607,17.2775434525251,968,969,True,smoke_test2.csv,1
c8310217_geometry_0003_01,geometry_0003,4,373399426,221.32807761607268,221.32807761607268,7,7,2.5,13.0,150.8842672030005,12.3141102787627,293.77451343527053,16.258372527388566,18.09481735044635,1508,1509,True,smoke_test2.csv,1
c8310217_geometry_0004_01,geometry_0004,4,127978094,184.504494689786,184.504494689786,6,6,2.5,13.0,133.8837334609998,10.763497685215176,289.3829540512276,16.286201680748206,17.797833776806744,1338,1339,True,smoke_test2.csv,1
c8310217_geometry_0005_01,geometry_0005,4,113971123,114.98207596857654,114.98207596857652,2,2,2.5,13.0,92.88320252999983,7.219737808417406,279.772045065534,16.35197063565126,17.147566855186344,928,929,True,smoke_test2.csv,1
c8310217_geometry_0006_01,geometry_0006,4,1801823908,163.08841446591825,163.08841446591822,6,6,2.5,13.0,123.89546511500156,9.953158416635462,289.1648856844623,16.299585936625608,17.770750193849892,1238,1239,True,smoke_test2.csv,1
c8310217_geometry_0007_01,geometry_0007,4,1194819984,151.87344740541658,151.87344740541656,3,3,2.5,13.0,110.89232334600092,8.763704027757965,284.4588654546773,16.322632879905598,17.460946376033203,1108,1109,True,smoke_test2.csv,1
c8310217_geometry_0008_01,geometry_0008,4,685731524,233.7264153980608,233.72641539806085,8,8,2.5,13.0,158.88387173299998,12.984242167824409,294.1665740411248,16.247210978561412,18.130773648436787,1588,1589,True,smoke_test2.csv,1
c8310217_geometry_0009_01,geometry_0009,4,1193448329,198.4282366670521,198.4282366670522,7,7,2.5,13.0,141.88473466100186,11.473069958892408,291.06967187899954,16.27348421458378,17.913995299081385,1418,1419,True,smoke_test2.csv,1
c8310217_geometry_0011_01,geometry_0011,4,415393687,94.83933494082366,94.83933494082363,2,2,2.5,13.0,84.88288223299969,6.568116305030425,278.5034038595245,16.363850030797952,17.059127978897173,848,849,True,smoke_test2.csv,1
c8310217_geometry_0012_01,geometry_0012,4,1136108454,218.03918875403423,218.0391887540342,4,4,2.5,13.0,140.88404413199896,11.366427374543283,290.41117270805074,16.27599297354964,17.87087252291912,1408,1409,True,smoke_test2.csv,1
c8310217_geometry_0013_01,geometry_0013,4,1973214822,194.08562126030867,194.08562126030867,8,8,2.5,13.0,142.88320347099943,11.614698907016171,292.6006246017537,16.270326879993863,18.010636327789538,1428,1429,True,smoke_test2.csv,1
c8310217_geometry_0014_01,geometry_0014,4,1625792787,155.9833116339081,155.9833116339081,6,6,2.5,13.0,121.88416006699843,9.742265430240774,287.7099880055312,16.30394828740058,17.677842096802248,1218,1219,True,smoke_test2.csv,1
c8310217_geometry_0015_01,geometry_0015,4,1553210608,168.32650100371632,168.32650100371632,2,2,2.5,13.0,113.88586883199967,9.062055377413593,286.4192553424713,16.316323880672037,17.586154055161053,1138,1139,True,smoke_test2.csv,1
c8310217_geometry_0018_01,geometry_0018,4,433797840,216.8508353624235,216.8508353624235,2,2,2.5,13.0,133.8840013150002,10.770303782444945,289.56557140827374,16.286330860528242,17.808289314647322,1338,1339,True,smoke_test2.csv,1
c8310217_geometry_0021_01,geometry_0021,4,306671447,187.22240318753617,187.22240318753617,7,7,2.5,13.0,136.8852210389996,11.104032155968792,291.996106677609,16.27895110431947,17.96469643548773,1368,1369,True,smoke_test2.csv,1
c8310217_geometry_0022_01,geometry_0022,4,1051454923,204.95791566691776,204.9579156669178,6,6,2.5,13.0,141.88360957199984,11.486725235530074,291.41597193891533,16.273217814837317,17.935207452459643,1418,1419,True,smoke_test2.csv,1
c8310217_geometry_0023_01,geometry_0023,4,1159417075,153.9616338961785,153.9616338961785,3,3,2.5,13.0,112.88471454799948,8.926794916338661,284.6433523192654,16.319901543237975,17.474950922153184,1128,1129,True,smoke_test2.csv,1
c8310217_geometry_0024_01,geometry_0024,4,943239974,217.5476610071985,217.54766100719849,7,7,2.5,13.0,149.8841959240017,12.160141606193012,292.0352717418806,16.26189272335325,17.984996243712402,1498,1499,True,smoke_test2.csv,1
c8310217_geometry_0026_01,geometry_0026,4,1354860540,211.48841504108933,211.48841504108933,3,3,2.5,13.0,133.88437508700008,10.814184561099063,290.7447317351853,16.284751359342728,17.881866624009884,1338,1339,True,smoke_test2.csv,1
c8310217_geometry_0027_01,geometry_0027,4,906164396,152.12890511708434,152.12890511708437,5,5,2.5,13.0,116.88399585700245,9.317662840007342,286.9406780493068,16.31154141780961,17.623215978042605,1168,1169,True,smoke_test2.csv,1
c8310217_geometry_0028_01,geometry_0028,4,1351531223,228.1312921413762,228.1312921413762,6,6,2.5,13.0,149.8842362439973,12.2184479888143,293.4364631759525,16.260155544828145,18.07218105065636,1498,1499,True,smoke_test2.csv,1
c8310217_geometry_0029_01,geometry_0029,4,1699226064,184.8701864471808,184.8701864471808,3,3,2.5,13.0,123.8844598320029,9.957068811206003,289.3074782019983,16.29958837045788,17.77889382362943,1238,1239,True,smoke_test2.csv,1
c8310217_geometry_0030_01,geometry_0030,4,1137651678,201.03733338629272,201.0373333862928,7,7,2.5,13.0,142.8838274049995,11.555893411761636,291.1193519821241,16.272234518266043,17.91826409170309,1428,1429,True,smoke_test2.csv,1
c8310217_geometry_0032_01,geometry_0032,4,1715412119,210.09019129609493,210.09019129609493,7,7,2.5,13.0,145.88445922100072,11.871729593771722,292.9258106698356,16.265954171246744,18.034934493758403,1458,1459,True,smoke_test2.csv,1
c8310217_geometry_0033_01,geometry_0033,4,594130308,127.5821893186488,127.5821893186488,4,4,2.5,13.0,104.88426002400227,8.245470564727572,282.9689095536961,16.332191483649442,17.361229270575897,1048,1049,True,smoke_test2.csv,1
c8310217_geometry_0034_01,geometry_0034,4,202363285,191.3775201494045,191.3775201494046,6,6,2.5,13.0,135.88503100899834,10.996799031519172,291.30363117299146,16.28116338475826,17.9199775174929,1358,1359,True,smoke_test2.csv,1
c8310217_geometry_0035_01,geometry_0035,4,687117441,197.26315825683164,197.2631582568316,8,8,2.5,13.0,144.88410380200003,11.723579167171872,291.26690747812427,16.269346491232504,17.93040674961872,1448,1449,True,smoke_test2.csv,1
c8310217_geometry_0036_01,geometry_0036,4,272849424,224.6630982478237,224.66309824782363,8,8,2.5,13.0,154.88411365399952,12.66035023879424,294.23517519906545,16.252383629224468,18.12943792785653,1548,1549,True,smoke_test2.csv,1
c8310217_geometry_0037_01,geometry_0037,4,2010258946,165.7943143807844,165.7943143807844,5,5,2.5,13.0,122.88440471600188,9.81843297029588,287.6003611414002,16.302850270096705,17.672090684014478,1228,1229,True,smoke_test2.csv,1
c8310217_geometry_0038_01,geometry_0038,4,49310608,168.13575551825406,168.1357555182541,6,6,2.5,13.0,126.88363670400211,10.169463954415027,288.49308631135307,16.29650119273469,17.73304142236968,1268,1269,True,smoke_test2.csv,1
c8310217_geometry_0039_01,geometry_0039,4,1146005448,219.891970993934,219.89197099393408,7,7,2.5,13.0,150.88646680999955,12.287713469046013,293.14443724065273,16.259210835552278,18.055513136824526,1508,1509,True,smoke_test2.csv,1
c8310217_geometry_0040_01,geometry_0040,4,479112937,222.7661663318308,222.7661663318308,8,8,2.5,13.0,153.8853554419984,12.573663918832391,294.1192329347872,16.253985824485813,18.120642827689416,1538,1539,True,smoke_test2.csv,1
c8310217_geometry_0001_02,geometry_0001,6,1181241943,176.015836907929,176.01583690792893,7,7,2.5,13.0,132.88419300999885,10.742873783951268,291.0008607637893,16.285379992471412,17.89726069952488,1328,1329,True,smoke_test2.csv,2
c8310217_geometry_0002_02,geometry_0002,6,440213415,115.71371810381164,115.71371810381166,3,3,2.5,13.0,96.88414898800328,7.544652717543544,280.2934267322603,16.346054472790414,17.18519058449519,968,969,True,smoke_test2.csv,2
c8310217_geometry_0003_02,geometry_0003,5,373399426,221.32807761607268,221.32807761607268,7,7,2.5,13.0,151.88388720799776,12.328306678752549,292.1764072703985,16.259137723067624,17.996569671237094,1518,1519,True,smoke_test2.csv,2
c8310217_geometry_0004_02,geometry_0004,5,127978094,184.504494689786,184.504494689786,6,6,2.5,13.0,133.8839782230025,10.778985516733789,289.79885661364494,16.285621395210796,17.823696349364237,1338,1339,True,smoke_test2.csv,2
c8310217_geometry_0005_02,geometry_0005,5,113971123,114.98207596857654,114.98207596857652,2,2,2.5,13.0,92.884507984003,7.226234351154351,280.0232157099934,16.351663831745718,17.163078234137004,928,929,True,smoke_test2.csv,2
c8310217_geometry_0006_02,geometry_0006,5,1801823908,163.08841446591825,163.08841446591822,6,6,2.5,13.0,124.88366598399809,9.985833324961597,287.8199718785519,16.299906343531855,17.688630468773546,1248,1249,True,smoke_test2.csv,2
c8310217_geometry_0007_02,geometry_0007,5,1194819984,151.87344740541658,151.87344740541656,3,3,2.5,13.0,110.88345539799776,8.766040632351281,284.5578724918359,16.322553522851255,17.467087062490588,1108,1109,True,smoke_test2.csv,2
c8310217_geometry_0008_02,geometry_0008,5,685731524,233.7264153980608,233.72641539806085,8,8,2.5,13.0,158.8828050359989,12.998648206018972,294.4923905637763,16.246847866915395,18.15113238827604,1588,1589,True,smoke_test2.csv,2
c8310217_geometry_0009_02,geometry_0009,5,1193448329,198.4282366670521,198.4282366670522,7,7,2.5,13.0,141.8842895359994,11.4647561067111,290.8583502416712,16.273809814721954,17.900831175683205,1418,1419,True,smoke_test2.csv,2
c8310217_geometry_0011_02,geometry_0011,5,415393687,94.83933494082366,94.83933494082363,2,2,2.5,13.0,84.88409554300233,6.570135897298287,278.58768804079847,16.36369338557914,17.06432237198798,848,849,True,smoke_test2.csv,2
c8310217_geometry_0012_02,geometry_0012,5,1136108454,218.03918875403423,218.0391887540342,4,4,2.5,13.0,140.88431128699813,11.361464046777073,290.2836398846597,16.276095894569195,17.86293783574514,1408,1409,True,smoke_test2.csv,2
c8310217_geometry_0013_02,geometry_0013,5,1973214822,194.08562126030867,194.08562126030867,8,8,2.5,13.0,143.88418737900065,11.645420091565695,291.3358477103908,16.270615094564622,17.93325877583911,1438,1439,True,smoke_test2.csv,2
c8310217_geometry_0014_02,geometry_0014,5,1625792787,155.9833116339081,155.9833116339081,6,6,2.5,13.0,121.88315916600186,9.780057058522443,288.8266016340009,16.302547927368263,17.74711198426349,1218,1219,True,smoke_test2.csv,2
c8310217_geometry_0015_02,geometry_0015,5,1553210608,168.32650100371632,168.32650100371632,2,2,2.5,13.0,113.883795482001,9.083422572054678,287.0942229912277,16.31543627195551,17.627980287441098,1138,1139,True,smoke_test2.csv,2
c8310217_geometry_0018_02,geometry_0018,5,433797840,216.8508353624235,216.8508353624235,2,2,2.5,13.0,133.88522455299972,10.806937995746674,290.550162674834,16.285133699412842,17.869521605108236,1338,1339,True,smoke_test2.csv,2
c8310217_geometry_0021_02,geometry_0021,5,306671447,187.22240318753617,187.22240318753617,7,7,2.5,13.0,136.8833679649979,11.07272084159906,291.1730562066374,16.279967184742496,17.91352040596562,1368,1369,True,smoke_test2.csv,2
c8310217_geometry_0022_02,geometry_0022,5,1051454923,204.95791566691776,204.9579156669178,6,6,2.5,13.0,140.88379997500306,11.440832870542115,292.31177679895296,16.273418111103997,17.989595066650253,1408,1409,True,smoke_test2.csv,2
c8310217_geometry_0023_02,geometry_0023,5,1159417075,153.9616338961785,153.9616338961785,3,3,2.5,13.0,111.88429256900054,8.85259636233675,284.7994207450161,16.320897998076873,17.483315078406807,1118,1119,True,smoke_test2.csv,2
c8310217_geometry_0024_02,geometry_0024,5,943239974,217.5476610071985,217.54766100719849,7,7,2.5,13.0,149.88394169399908,12.178272435467736,292.4719475010007,16.261407076000292,18.01220768430159,1498,1499,True,smoke_test2.csv,2
c8310217_geometry_0026_02,geometry_0026,5,1354860540,211.48841504108933,211.48841504108933,3,3,2.5,13.0,134.88465327299855,10.837011496093815,289.1993600156425,16.285415902501835,17.787130797059557,1348,1349,True,smoke_test2.csv,2
c8310217_geometry_0027_02,geometry_0027,5,906164396,152.12890511708434,152.12890511708437,5,5,2.5,13.0,117.88434892000078,9.38623232496588,286.60044502712134,16.310650460693772,17.60346015208449,1178,1179,True,smoke_test2.csv,2
c8310217_geometry_0028_02,geometry_0028,5,1351531223,228.1312921413762,228.1312921413762,6,6,2.5,13.0,149.88419701800012,12.224964264165752,293.5931751412701,16.259920084611664,18.081974204895573,1498,1499,True,smoke_test2.csv,2
c8310217_geometry_0029_02,geometry_0029,5,1699226064,184.8701864471808,184.8701864471808,3,3,2.5,13.0,123.88494426399848,9.949537673960297,289.08854221984006,16.299885382663827,17.765310255430272,1238,1239,True,smoke_test2.csv,2
c8310217_geometry_0030_02,geometry_0030,5,1137651678,201.03733338629272,201.0373333862928,7,7,2.5,13.0,142.88381674399716,11.54862920863484,290.9365314903153,16.272451471498247,17.90688551552046,1428,1429,True,smoke_test2.csv,2
c8310217_geometry_0032_02,geometry_0032,5,1715412119,210.09019129609493,210.09019129609493,7,7,2.5,13.0,145.88414937900234,11.87769774049518,293.0737279524517,16.26581367848261,18.044153130768382,1458,1459,True,smoke_test2.csv,2
c8310217_geometry_0033_02,geometry_0033,5,594130308,127.5821893186488,127.5821893186488,4,4,2.5,13.0,104.88508557000024,8.256792537447664,283.3578525606256,16.331756764531022,17.385280811155944,1048,1049,True,smoke_test2.csv,2
c8310217_geometry_0034_02,geometry_0034,5,202363285,191.3775201494045,191.3775201494046,6,6,2.5,13.0,135.88332407199778,10.997809374206025,291.3306039895752,16.28117810600904,17.921662580230116,1358,1359,True,smoke_test2.csv,2
c8310217_geometry_0035_02,geometry_0035,5,687117441,197.26315825683164,197.2631582568316,8,8,2.5,13.0,144.883286819997,11.743715965416063,291.7670117716469,16.268678492723126,17.961566158621125,1448,1449,True,smoke_test2.csv,2
c8310217_geometry_0036_02,geometry_0036,5,272849424,224.6630982478237,224.66309824782363,8,8,2.5,13.0,155.88507394000044,12.725588288767728,293.8535755756522,16.251566522927373,18.10707460966073,1558,1559,True,smoke_test2.csv,2
c8310217_geometry_0037_02,geometry_0037,5,2010258946,165.7943143807844,165.7943143807844,5,5,2.5,13.0,122.88436591500069,9.815538458487064,287.5160691038065,16.302930814837712,17.66686693486205,1228,1229,True,smoke_test2.csv,2
c8310217_geometry_0038_02,geometry_0038,5,49310608,168.13575551825406,168.1357555182541,6,6,2.5,13.0,126.88402871700237,10.153330633366448,288.035679740582,16.297093769431207,17.704633177336603,1268,1269,True,smoke_test2.csv,2
c8310217_geometry_0039_02,geometry_0039,5,1146005448,219.891970993934,219.89197099393408,7,7,2.5,13.0,150.88520021099976,12.289952238414044,293.1981655496472,16.25917836891412,18.05886637445137,1508,1509,True,smoke_test2.csv,2
c8310217_geometry_0040_02,geometry_0040,5,479112937,222.7661663318308,222.7661663318308,8,8,2.5,13.0,153.88548113299476,12.578726041178426,294.237882812374,16.25375967911887,18.128043773268782,1538,1539,True,smoke_test2.csv,2
c8310217_geometry_0001_03,geometry_0001,7,1181241943,176.015836907929,176.01583690792893,7,7,2.5,13.0,133.88514110700635,10.795154888194638,290.2337929079182,16.28507545619335,17.850925641085695,1338,1339,True,smoke_test2.csv,3
c8310217_geometry_0002_03,geometry_0002,7,440213415,115.71371810381164,115.71371810381166,3,3,2.5,13.0,95.88418304999504,7.523048245663106,282.40548629996573,16.34461287736147,17.31442084035237,958,959,True,smoke_test2.csv,3
c8310217_geometry_0003_03,geometry_0003,6,373399426,221.32807761607268,221.32807761607268,7,7,2.5,13.0,150.8845858900022,12.31348711391852,293.7595238410896,16.258333461501095,18.093889569741474,1508,1509,True,smoke_test2.csv,3
c8310217_geometry_0004_03,geometry_0004,6,127978094,184.504494689786,184.504494689786,6,6,2.5,13.0,133.88350699400326,10.76149776701044,289.32855756505023,16.286267383851783,17.79447307077371,1338,1339,True,smoke_test2.csv,3
c8310217_geometry_0005_03,geometry_0005,6,113971123,114.98207596857654,114.98207596857652,2,2,2.5,13.0,92.88349557600304,7.256330301134197,281.19006554455825,16.35016977620202,17.2351341179549,928,929,True,smoke_test2.csv,3
c8310217_geometry_0006_03,geometry_0006,6,1801823908,163.08841446591825,163.08841446591822,6,6,2.5,13.0,123.88405835499724,9.963721552571648,289.5012153450895,16.299069386898655,17.7916541942384,1238,1239,True,smoke_test2.csv,3
c8310217_geometry_0007_03,geometry_0007,6,1194819984,151.87344740541658,151.87344740541656,3,3,2.5,13.0,110.88440639100008,8.768198206145597,284.62842540557125,16.322382155574044,17.471478357897674,1108,1109,True,smoke_test2.csv,3
c8310217_geometry_0008_03,geometry_0008,6,685731524,233.7264153980608,233.72641539806085,8,8,2.5,13.0,159.88396611200005,13.018561270427911,293.0996610484443,16.2473159465587,18.065540554487683,1598,1599,True,smoke_test2.csv,3
c8310217_geometry_0009_03,geometry_0009,6,1193448329,198.4282366670521,198.4282366670522,7,7,2.5,13.0,141.88509769699886,11.461765569533268,290.78308583823355,16.273872487052717,17.896151820760828,1418,1419,True,smoke_test2.csv,3
c8310217_geometry_0011_03,geometry_0011,6,415393687,94.83933494082366,94.83933494082363,2,2,2.5,13.0,84.88493191999441,6.577671026460763,278.90928506890896,16.363271693037593,17.08418098200898,848,849,True,smoke_test2.csv,3
c8310217_geometry_0012_03,geometry_0012,6,1136108454,218.03918875403423,218.0391887540342,4,4,2.5,13.0,140.8835356299969,11.361065581993907,290.27378152375627,16.27610583200448,17.86232040227094,1408,1409,True,smoke_test2.csv,3
c8310217_geometry_0013_03,geometry_0013,6,1973214822,194.08562126030867,194.08562126030867,8,8,2.5,13.0,142.88305292900623,11.594245848142084,292.0855116250572,16.270936394672113,17.978544016185552,1428,1429,True,smoke_test2.csv,3
c8310217_geometry_0014_03,geometry_0014,6,1625792787,155.9833116339081,155.9833116339081,6,6,2.5,13.0,121.88338952100456,9.728432538949688,287.301739900346,16.304489709980864,17.652485224044742,1218,1219,True,smoke_test2.csv,3
